Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
soc.robot.SOCRobotPinger, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCRobotResetThread, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.robot.SOCTradeTree, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.server.SOCChannelList, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.server.SOCClientData, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.server.SOCGameListAtServer, 3.0, 1.0, 66.66666666666666, 16.0, 6.0, 62.5, 
soc.server.SOCGameTimeoutChecker, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.server.SOCReplaceRequest, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.server.SOCServer, 20.0, 15.0, 25.0, 32.0, 17.0, 46.875, 
soc.server.SOCServerRobotPinger, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.server.database.SOCDBHelper, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.server.genericServer.Connection, 0.0, 0.0, NaN, 20.0, 18.0, 10.0, 
soc.server.genericServer.LocalStringConnection, 0.0, 0.0, NaN, 20.0, 16.0, 20.0, 
soc.server.genericServer.LocalStringServerSocket, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
soc.server.genericServer.Server, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.server.genericServer.StringConnection, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.server.genericServer.StringServerSocket, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.CappedQueue, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.CutoffExceededException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.DebugRecorder, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.IntPair, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.MutexFlag, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.NodeLenVis, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.Pair, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.Queue, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.SOCGameBoardReset, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.SOCGameList, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.SOCRobotParameters, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.SOCServerFeatures, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.Triple, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.util.Version, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
Total, 10187.0, 10165.0, 0.21596151958378584, 1648.0, 1347.0, 18.264563106796118, 
