Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
com.alibaba.dubbo.common.serialize.hessian2.Hessian2SerializerFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.java.CompactedJavaSerialization, 0.0, 0.0, NaN, 4.0, 4.0, 0.0, 
com.alibaba.dubbo.common.serialize.java.CompactedObjectInputStream, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.java.CompactedObjectOutputStream, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.java.JavaObjectInput, 1.0, 1.0, 0.0, 11.0, 9.0, 18.181818181818187, 
com.alibaba.dubbo.common.serialize.java.JavaObjectOutput, 1.0, 1.0, 0.0, 12.0, 11.0, 8.333333333333329, 
com.alibaba.dubbo.common.serialize.java.JavaSerialization, 0.0, 0.0, NaN, 4.0, 4.0, 0.0, 
com.alibaba.dubbo.common.serialize.kryo.CompatibleKryo, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.kryo.KryoObjectInput, 0.0, 0.0, NaN, 11.0, 10.0, 9.090909090909093, 
com.alibaba.dubbo.common.serialize.kryo.KryoObjectOutput, 0.0, 0.0, NaN, 12.0, 11.0, 8.333333333333329, 
com.alibaba.dubbo.common.serialize.kryo.KryoSerialization, 0.0, 0.0, NaN, 4.0, 4.0, 0.0, 
com.alibaba.dubbo.common.serialize.kryo.utils.AbstractKryoFactory, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.kryo.utils.KryoUtils, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.kryo.utils.PooledKryoFactory, 3.0, 3.0, 0.0, 5.0, 5.0, 0.0, 
com.alibaba.dubbo.common.serialize.kryo.utils.PrototypeKryoFactory, 3.0, 3.0, 0.0, 5.0, 4.0, 20.0, 
com.alibaba.dubbo.common.serialize.kryo.utils.ReflectionUtils, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
com.alibaba.dubbo.common.serialize.kryo.utils.ThreadLocalKryoFactory, 3.0, 3.0, 0.0, 5.0, 5.0, 0.0, 
com.alibaba.dubbo.common.serialize.nativejava.NativeJavaObjectInput, 0.0, 0.0, NaN, 10.0, 9.0, 10.0, 
com.alibaba.dubbo.common.serialize.nativejava.NativeJavaObjectOutput, 0.0, 0.0, NaN, 11.0, 10.0, 9.090909090909093, 
com.alibaba.dubbo.common.serialize.nativejava.NativeJavaSerialization, 0.0, 0.0, NaN, 4.0, 4.0, 0.0, 
com.alibaba.dubbo.common.serialize.serialization.AbstractSerializationPersionFailTest, 6.0, 5.0, 16.66666666666667, 76.0, 76.0, 0.0, 
